,Data,TempMaxima
1884,1963-08-01,28.8
1886,1963-08-02,24.5
1888,1963-08-03,24.4
1890,1963-08-04,30.1
1892,1963-08-05,25.6
1894,1963-08-06,18.4
1896,1963-08-07,19.8
1898,1963-08-08,23.6
1900,1963-08-09,27.3
1902,1963-08-10,26.8
1904,1963-08-11,30.0
1906,1963-08-12,33.0
1908,1963-08-13,28.8
1910,1963-08-14,24.1
1912,1963-08-15,25.0
1914,1963-08-16,22.0
1916,1963-08-17,19.7
1918,1963-08-18,19.9
1920,1963-08-19,24.7
1922,1963-08-20,29.3
1924,1963-08-21,27.8
1926,1963-08-22,29.7
1928,1963-08-23,29.7
1930,1963-08-24,24.8
1932,1963-08-25,27.4
1934,1963-08-26,24.7
1936,1963-08-27,23.4
1938,1963-08-28,28.8
1940,1963-08-29,28.6
1942,1963-08-30,30.3
1944,1963-08-31,26.9
1946,1963-09-01,29.1
1948,1963-09-02,26.9
1950,1963-09-03,30.7
1952,1963-09-04,30.2
1954,1963-09-05,28.3
1956,1963-09-06,31.4
1958,1963-09-07,32.8
1960,1963-09-08,31.3
1962,1963-09-09,24.2
1964,1963-09-10,25.4
1966,1963-09-11,28.3
1968,1963-09-12,24.5
1970,1963-09-13,24.1
1972,1963-09-14,22.7
1974,1963-09-15,26.5
1976,1963-09-16,27.0
1978,1963-09-17,23.7
1980,1963-09-18,23.9
1982,1963-09-19,23.2
1984,1963-09-20,27.7
1986,1963-09-21,31.5
1988,1963-09-22,26.0
1990,1963-09-23,23.6
1992,1963-09-24,25.3
1994,1963-09-25,32.8
1996,1963-09-26,32.1
1998,1963-09-27,26.7
2000,1963-09-28,24.8
2002,1963-09-29,30.1
2004,1963-09-30,27.2
2006,1963-10-01,22.5
2008,1963-10-02,20.8
2010,1963-10-03,22.9
2012,1963-10-04,26.1
2014,1963-10-05,25.3
2016,1963-10-06,28.0
2018,1963-10-07,24.3
2020,1963-10-08,25.4
2022,1963-10-09,30.1
2024,1963-10-10,24.0
2026,1963-10-11,27.1
2028,1963-10-12,26.1
2030,1963-10-13,26.2
2032,1963-10-14,29.3
2034,1963-10-15,24.9
2036,1963-10-16,28.2
2038,1963-10-17,26.6
2040,1963-10-18,31.1
2042,1963-10-19,25.7
2044,1963-10-20,22.2
2046,1963-10-21,29.9
2048,1963-10-22,27.8
2050,1963-10-23,22.8
2052,1963-10-24,21.6
2054,1963-10-25,22.8
2056,1963-10-26,31.1
2058,1963-10-27,33.1
